"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Fletcher, Dominic",666150,"2","1","7","14.3","2","2","100.0","2","2","100.0","2","3","66.7","4","4","100.0"
"McNeil, Jeff",643446,"2","0","9","0.0","3","6","50.0","6","7","85.7","5","6","83.3","15","16","93.8"
"Ruiz, Esteury",665923,"2","3","19","15.8","3","9","33.3","13","19","68.4","9","10","90.0","12","13","92.3"
"Fraley, Jake",641584,"2","0","13","0.0","4","9","44.4","5","6","83.3","10","11","90.9","18","19","94.7"
"Rafaela, Ceddanne",678882,"2","1","3","33.3","1","1","100.0","2","2","100.0","1","1","100.0","0","0",
"Bellinger, Cody",641355,"2","0","7","0.0","2","3","66.7","9","10","90.0","9","12","75.0","17","18","94.4"
"Taylor, Tyrone",621438,"2","0","8","0.0","3","6","50.0","2","4","50.0","13","13","100.0","6","7","85.7"
"Suzuki, Seiya",673548,"2","0","17","0.0","2","5","40.0","13","18","72.2","17","19","89.5","10","10","100.0"
"Marlowe, Cade",687799,"2","0","1","0.0","3","4","75.0","2","3","66.7","3","4","75.0","8","8","100.0"
"Myers, Dane",667472,"1","0","2","0.0","0","0",,"4","5","80.0","0","0",,"5","5","100.0"
"Biggio, Cavan",624415,"1","1","5","20.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"Locastro, Tim",641796,"1","0","2","0.0","0","2","0.0","2","2","100.0","3","3","100.0","2","2","100.0"
"Thomas, Cody",642137,"1","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0","2","2","100.0"
"Thompson, Trayce",572204,"1","0","3","0.0","2","5","40.0","2","3","66.7","4","4","100.0","6","6","100.0"
"Mitchell, Garrett",669003,"1","0","2","0.0","0","0",,"2","2","100.0","3","4","75.0","4","4","100.0"
"Crow-Armstrong, Pete",691718,"1","1","2","50.0","1","1","100.0","1","1","100.0","2","2","100.0","1","1","100.0"
"Bouchard, Sean",656248,"1","0","0",,"1","2","50.0","3","3","100.0","1","2","50.0","2","2","100.0"
"Slater, Austin",596103,"1","0","7","0.0","4","6","66.7","4","5","80.0","8","8","100.0","6","6","100.0"
"Eaton, Nate",681987,"1","1","2","50.0","0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Moore, Dylan",664238,"1","1","2","50.0","1","6","16.7","2","3","66.7","6","6","100.0","3","3","100.0"
"Nimmo, Brandon",607043,"1","0","18","0.0","3","15","20.0","8","14","57.1","27","28","96.4","32","33","97.0"
"Stevenson, Andrew",664057,"1","0","2","0.0","0","1","0.0","1","1","100.0","4","4","100.0","4","4","100.0"
"Ortega, Rafael",542364,"1","0","4","0.0","1","3","33.3","5","6","83.3","5","6","83.3","6","7","85.7"
"Carlson, Dylan",666185,"1","0","10","0.0","3","5","60.0","7","10","70.0","13","16","81.3","8","8","100.0"
"Verdugo, Alex",657077,"1","1","19","5.3","3","10","30.0","9","11","81.8","13","16","81.3","21","24","87.5"
"Blanco, Dairon",680118,"1","0","8","0.0","0","3","0.0","4","5","80.0","5","5","100.0","6","6","100.0"
"Johnson, Bryce",669369,"1","1","5","20.0","0","0",,"2","3","66.7","4","4","100.0","0","0",
"Guthrie, Dalton",656495,"1","0","2","0.0","1","1","100.0","0","0",,"1","1","100.0","4","4","100.0"
"Joe, Connor",656582,"1","0","8","0.0","0","2","0.0","8","10","80.0","9","9","100.0","9","11","81.8"
"Odor, Rougned",596059,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Davis, Jonathan",641505,"1","0","3","0.0","0","0",,"1","2","50.0","5","5","100.0","5","5","100.0"
"Florial, Estevan",664314,"1","0","2","0.0","0","0",,"1","1","100.0","1","1","100.0","2","2","100.0"
"Greene, Riley",682985,"1","0","10","0.0","2","5","40.0","1","4","25.0","16","17","94.1","9","9","100.0"
"Dixon, Brandon",641525,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","6","6","100.0"
"McKenna, Ryan",663630,"1","1","9","11.1","1","2","50.0","4","6","66.7","5","5","100.0","3","4","75.0"
"Yastrzemski, Mike",573262,"1","0","11","0.0","1","8","12.5","10","10","100.0","15","17","88.2","16","17","94.1"
"McCutchen, Andrew",457705,"1","0","2","0.0","0","0",,"1","1","100.0","2","2","100.0","1","1","100.0"
"Sánchez, Jesús",660821,"1","0","13","0.0","3","9","33.3","11","15","73.3","10","12","83.3","12","12","100.0"
"DeLuca, Jonny",676356,"1","0","4","0.0","1","3","33.3","2","2","100.0","0","0",,"4","4","100.0"
"Adell, Jo",666176,"1","0","1","0.0","0","0",,"2","2","100.0","3","3","100.0","7","7","100.0"
"Gurriel Jr., Lourdes",666971,"1","0","14","0.0","1","7","14.3","8","12","66.7","17","17","100.0","21","22","95.5"
"Basabe, Osleivis",678545,"0","0","1","0.0","0","0",,"1","1","100.0","0","0",,"0","0",
"Clemens, Kody",665019,"0","0","0",,"0","1","0.0","1","1","100.0","0","0",,"0","0",
"Beaty, Matt",607461,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Lewis, Kyle",641786,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Madris, Bligh",676632,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Abreu, Wilyer",677800,"0","0","3","0.0","0","0",,"1","3","33.3","3","3","100.0","3","3","100.0"
"Wade, Tyler",642180,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Eden, Cam",686490,"0","0","0",,"0","0",,"0","0",,"1","1","100.0","0","0",
"Estrada, Thairo",642731,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Mathias, Mark",664029,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Schneider, Davis",676914,"0","0","2","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Lopez, Nicky",670032,"0","0","0",,"0","0",,"0","0",,"2","2","100.0","0","0",
"Ozuna, Marcell",542303,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"Paris, Kyren",677347,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Naquin, Tyler",571980,"0","0","2","0.0","0","0",,"1","2","50.0","1","1","100.0","0","0",
"Kjerstad, Heston",677008,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Miller, Owen",680911,"0","0","0",,"0","1","0.0","0","0",,"0","0",,"0","0",
"Berti, Jon",542932,"0","0","2","0.0","0","2","0.0","0","0",,"1","1","100.0","6","6","100.0"
"Donovan, Brendan",680977,"0","0","5","0.0","1","3","33.3","3","3","100.0","1","1","100.0","2","2","100.0"
"Colás, Oscar",693049,"0","0","7","0.0","1","9","11.1","4","7","57.1","6","6","100.0","19","19","100.0"
"Baddoo, Akil",668731,"0","2","15","13.3","0","2","0.0","3","3","100.0","10","13","76.9","16","17","94.1"
"Julks, Corey",667452,"0","0","9","0.0","2","5","40.0","2","3","66.7","5","7","71.4","7","7","100.0"
"Taylor, Samad",669392,"0","0","1","0.0","0","0",,"2","2","100.0","0","0",,"1","2","50.0"
"Springer, George",543807,"0","0","22","0.0","3","6","50.0","13","18","72.2","17","18","94.4","18","20","90.0"
"Fitzgerald, Tyler",666149,"0","0","0",,"0","1","0.0","1","1","100.0","0","0",,"3","3","100.0"
"Haseley, Adam",656514,"0","0","1","0.0","0","0",,"3","4","75.0","0","0",,"0","0",
"Garrett, Stone",656448,"0","0","5","0.0","1","3","33.3","4","5","80.0","4","6","66.7","12","13","92.3"
"Wisely, Brett",689172,"0","0","2","0.0","1","2","50.0","0","0",,"0","0",,"3","3","100.0"
"Smith, Josh",669701,"0","0","0",,"0","1","0.0","0","0",,"3","3","100.0","5","6","83.3"
"Gordon, Nick",624503,"0","0","3","0.0","1","1","100.0","1","2","50.0","0","1","0.0","4","4","100.0"
"Kirilloff, Alex",666135,"0","0","1","0.0","0","2","0.0","1","2","50.0","2","2","100.0","3","3","100.0"
"Duran, Jarren",680776,"0","0","8","0.0","0","4","0.0","8","11","72.7","12","13","92.3","11","13","84.6"
"Hopkins, TJ",686759,"0","0","3","0.0","0","0",,"2","2","100.0","0","0",,"2","3","66.7"
"Ramos, Heliot",671218,"0","0","2","0.0","0","0",,"0","0",,"1","1","100.0","3","3","100.0"
"McKinstry, Zach",656716,"0","0","4","0.0","2","6","33.3","3","6","50.0","11","12","91.7","4","4","100.0"
"Walsh, Jared",665120,"0","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","2","50.0"
"Brantley, Michael",488726,"0","0","1","0.0","0","0",,"1","1","100.0","3","3","100.0","3","3","100.0"
"Meckler, Wade",685133,"0","0","2","0.0","0","2","0.0","0","3","0.0","11","11","100.0","4","4","100.0"
"Stowers, Kyle",669065,"0","0","0",,"0","0",,"0","0",,"0","0",,"2","2","100.0"
"Allen, Greg",656185,"0","0","2","0.0","1","1","100.0","0","0",,"1","2","50.0","2","2","100.0"
"Blankenhorn, Travis",663905,"0","0","1","0.0","0","1","0.0","0","1","0.0","1","1","100.0","2","2","100.0"
"Freeman, Tyler",671289,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Domínguez, Jasson",691176,"0","0","0",,"0","2","0.0","0","0",,"2","2","100.0","3","3","100.0"
"Cabbage, Trey",663550,"0","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0","1","1","100.0"
"Rutherford, Blake",666164,"0","0","1","0.0","0","0",,"0","0",,"2","2","100.0","0","0",
"Meadows, Austin",640457,"0","0","0",,"0","0",,"0","0",,"1","1","100.0","1","1","100.0"
"Rengifo, Luis",650859,"0","0","1","0.0","1","3","33.3","1","2","50.0","1","1","100.0","5","5","100.0"
"Stevenson, Cal",670276,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Frazier, Adam",624428,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Phillips, Brett",621433,"0","0","2","0.0","0","0",,"2","3","66.7","1","2","50.0","7","7","100.0"
"Pereira, Everson",677592,"0","0","5","0.0","0","0",,"4","5","80.0","4","4","100.0","5","6","83.3"
"Hernández, Enrique",571771,"0","0","3","0.0","0","0",,"3","4","75.0","4","5","80.0","8","8","100.0"
"Lukes, Nathan",664770,"0","0","0",,"0","0",,"1","1","100.0","0","0",,"0","0",
"O'Neill, Tyler",641933,"0","0","10","0.0","0","5","0.0","11","15","73.3","5","5","100.0","9","9","100.0"
"Vargas, Ildemaro",545121,"0","0","0",,"0","1","0.0","0","0",,"1","1","100.0","1","1","100.0"
"Winker, Jesse",608385,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Garlick, Kyle",664247,"0","0","0",,"0","0",,"1","2","50.0","0","0",,"0","0",
"Díaz, Aledmys",649557,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Nevin, Tyler",663527,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","1","1","100.0"
"Naylor, Josh",647304,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"McCarthy, Jake",664983,"0","0","5","0.0","2","4","50.0","9","15","60.0","15","15","100.0","14","14","100.0"
"Palacios, Joshua",641943,"0","0","6","0.0","2","6","33.3","5","9","55.6","7","9","77.8","14","14","100.0"
"White, Eli",642201,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","1","1","100.0"
"Hilliard, Sam",656541,"0","0","3","0.0","0","2","0.0","1","1","100.0","2","2","100.0","7","7","100.0"
"Dozier, Hunter",641531,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"2","2","100.0"
"Wall, Forrest",657088,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Gamel, Ben",592325,"0","0","1","0.0","0","0",,"0","0",,"1","1","100.0","0","0",
"Calhoun, Kole",594777,"0","0","0",,"0","0",,"0","0",,"0","0",,"2","2","100.0"
"Almonte, Abraham",501659,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Blackmon, Charlie",453568,"0","0","4","0.0","1","1","100.0","0","1","0.0","4","4","100.0","5","6","83.3"
"Cave, Jake",595909,"0","0","6","0.0","1","1","100.0","4","6","66.7","1","1","100.0","6","6","100.0"
"García, Avisaíl",541645,"0","0","5","0.0","0","1","0.0","0","0",,"2","2","100.0","1","1","100.0"
"Alu, Jake",666906,"0","0","4","0.0","0","0",,"1","1","100.0","4","6","66.7","2","2","100.0"
"Hays, Austin",669720,"0","0","17","0.0","0","5","0.0","8","9","88.9","20","23","87.0","13","14","92.9"
"Pollock, AJ",572041,"0","0","2","0.0","1","2","50.0","2","2","100.0","1","1","100.0","3","3","100.0"
"Ibáñez, Andy",628451,"0","0","2","0.0","0","1","0.0","2","2","100.0","6","6","100.0","2","2","100.0"
"Kelenic, Jarred",672284,"0","0","11","0.0","1","3","33.3","5","7","71.4","16","18","88.9","15","16","93.8"
"Siani, Michael",672279,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"1","1","100.0"
"Azocar, José",640492,"0","0","2","0.0","0","1","0.0","1","1","100.0","3","3","100.0","7","7","100.0"
"Tauchman, Mike",643565,"0","1","12","8.3","2","10","20.0","10","12","83.3","9","10","90.0","20","20","100.0"
"Hernández, Teoscar",606192,"0","2","24","8.3","3","14","21.4","9","13","69.2","14","17","82.4","34","36","94.4"
"Butler, Lawrence",671732,"0","0","8","0.0","0","4","0.0","5","5","100.0","5","6","83.3","8","9","88.9"
"Laureano, Ramón",657656,"0","1","18","5.6","2","9","22.2","6","10","60.0","12","13","92.3","17","17","100.0"
"Noda, Ryan",676116,"0","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Hummel, Cooper",669450,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Peterson, Jace",607054,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Encarnacion-Strand, Christian",687952,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Hensley, David",682073,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Velazquez, Andrew",623205,"0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",
"Kohlwey, Taylor",670128,"0","0","1","0.0","0","0",,"0","0",,"0","0",,"0","0",
"Mercado, Óscar",640458,"-1","0","2","0.0","0","1","0.0","1","1","100.0","1","2","50.0","3","3","100.0"
"Andujar, Miguel",609280,"-1","0","0",,"0","1","0.0","0","0",,"1","1","100.0","0","1","0.0"
"Vierling, Matt",663837,"-1","2","25","8.0","1","8","12.5","7","13","53.8","12","14","85.7","17","17","100.0"
"Pham, Tommy",502054,"-1","0","16","0.0","1","6","16.7","6","11","54.5","9","11","81.8","12","12","100.0"
"McKinney, Billy",641856,"-1","0","2","0.0","0","3","0.0","1","2","50.0","4","5","80.0","10","10","100.0"
"Kemp, Tony",643393,"-1","0","6","0.0","2","6","33.3","3","5","60.0","6","7","85.7","16","17","94.1"
"Judge, Aaron",592450,"-1","0","11","0.0","1","8","12.5","4","6","66.7","3","3","100.0","9","10","90.0"
"Arias, Gabriel",672356,"-1","0","3","0.0","0","0",,"1","3","33.3","1","1","100.0","1","1","100.0"
"Santander, Anthony",623993,"-1","0","13","0.0","4","10","40.0","7","11","63.6","11","11","100.0","19","19","100.0"
"Hampson, Garrett",641658,"-1","0","2","0.0","1","1","100.0","3","4","75.0","3","4","75.0","3","4","75.0"
"Dickerson, Corey",572816,"-1","0","6","0.0","1","2","50.0","1","3","33.3","5","7","71.4","8","8","100.0"
"Betts, Mookie",605141,"-1","0","14","0.0","1","6","16.7","7","9","77.8","7","9","77.8","9","10","90.0"
"Toglia, Michael",669911,"-1","0","2","0.0","0","0",,"0","0",,"3","3","100.0","2","3","66.7"
"Daza, Yonathan",602074,"-1","0","1","0.0","0","2","0.0","1","2","50.0","5","6","83.3","4","4","100.0"
"Cabrera, Oswaldo",665828,"-1","0","8","0.0","1","5","20.0","6","9","66.7","3","3","100.0","6","7","85.7"
"Taylor, Chris",621035,"-1","0","13","0.0","0","1","0.0","5","6","83.3","1","2","50.0","9","10","90.0"
"Edwards, Xavier",669364,"-1","0","1","0.0","0","1","0.0","0","0",,"0","1","0.0","0","0",
"Mendick, Danny",664901,"-1","0","0",,"0","0",,"0","1","0.0","0","0",,"0","0",
"Wilson, Weston",642215,"-1","0","2","0.0","0","0",,"0","1","0.0","0","0",,"0","0",
"Mancini, Trey",641820,"-1","0","0",,"0","1","0.0","0","0",,"0","0",,"1","1","100.0"
"Meneses, Joey",608841,"-1","0","0",,"0","0",,"0","0",,"1","1","100.0","0","0",
"Tucker, Cole",657061,"-1","0","1","0.0","0","1","0.0","0","0",,"1","1","100.0","1","1","100.0"
"Canario, Alexander",672744,"-1","0","0",,"0","2","0.0","0","0",,"0","0",,"1","1","100.0"
"Mateo, Jorge",622761,"-1","0","0",,"0","0",,"0","0",,"1","1","100.0","0","1","0.0"
"Mastrobuoni, Miles",670156,"-1","0","0",,"0","2","0.0","0","0",,"1","1","100.0","0","0",
"Reyes, Franmil",614177,"-1","0","0",,"0","0",,"0","0",,"0","0",,"1","1","100.0"
"Engel, Adam",641553,"-1","0","2","0.0","0","0",,"0","0",,"0","1","0.0","4","4","100.0"
"Wisdom, Patrick",621550,"-1","0","3","0.0","0","1","0.0","0","0",,"0","1","0.0","1","1","100.0"
"Bruján, Vidal",660644,"-1","0","0",,"0","0",,"0","2","0.0","3","3","100.0","3","3","100.0"
"Trammell, Taylor",666211,"-1","0","3","0.0","0","0",,"0","1","0.0","0","0",,"1","1","100.0"
"Burdick, Peyton",680814,"-1","0","1","0.0","1","1","100.0","1","1","100.0","2","2","100.0","0","1","0.0"
"Martini, Nick",605361,"-1","0","5","0.0","0","1","0.0","0","1","0.0","0","0",,"2","2","100.0"
"Fry, David",681807,"-1","0","1","0.0","0","0",,"1","2","50.0","2","2","100.0","4","5","80.0"
"Goodman, Hunter",696100,"-1","0","2","0.0","0","2","0.0","0","0",,"0","0",,"1","1","100.0"
"Smith-Njigba, Canaan",675986,"-1","0","3","0.0","0","0",,"1","1","100.0","0","0",,"1","2","50.0"
"Wade Jr., LaMonte",664774,"-1","0","1","0.0","0","2","0.0","0","1","0.0","0","0",,"0","0",
"Castro, Harold",605612,"-1","0","1","0.0","0","0",,"1","3","33.3","1","1","100.0","1","1","100.0"
"Jiménez, Eloy",650391,"-1","0","2","0.0","0","1","0.0","0","0",,"1","2","50.0","1","1","100.0"
"Vavra, Terrin",679631,"-1","0","3","0.0","0","0",,"0","1","0.0","1","1","100.0","1","2","50.0"
"Martínez, J.P.",679881,"-1","0","1","0.0","0","1","0.0","0","2","0.0","1","1","100.0","0","0",
"O'Hearn, Ryan",656811,"-1","0","3","0.0","0","2","0.0","1","2","50.0","1","1","100.0","2","2","100.0"
"Thompson, Bubba",669352,"-1","0","2","0.0","0","1","0.0","1","1","100.0","2","3","66.7","4","4","100.0"
"Luplow, Jordan",656669,"-1","0","2","0.0","0","2","0.0","0","1","0.0","2","2","100.0","3","3","100.0"
"Pratto, Nick",668472,"-1","0","4","0.0","0","2","0.0","4","6","66.7","1","1","100.0","3","3","100.0"
"Cowser, Colton",681297,"-1","0","3","0.0","0","3","0.0","1","1","100.0","1","2","50.0","3","3","100.0"
"Sabol, Blake",666165,"-1","0","3","0.0","0","1","0.0","2","4","50.0","3","3","100.0","6","6","100.0"
"Haase, Eric",606992,"-2","0","4","0.0","0","0",,"0","0",,"0","1","0.0","4","4","100.0"
"Sheets, Gavin",657757,"-2","1","6","16.7","0","1","0.0","1","2","50.0","8","9","88.9","6","6","100.0"
"Myers, Wil",571976,"-2","0","3","0.0","0","1","0.0","1","3","33.3","4","5","80.0","6","6","100.0"
"Duran, Ezequiel",677649,"-2","0","10","0.0","0","1","0.0","1","3","33.3","1","1","100.0","3","3","100.0"
"Ramírez, Harold",623912,"-2","0","2","0.0","0","0",,"0","1","0.0","1","1","100.0","2","3","66.7"
"Kiner-Falefa, Isiah",643396,"-2","0","9","0.0","0","3","0.0","6","11","54.5","11","11","100.0","8","11","72.7"
"Yepez, Juan",660766,"-2","0","2","0.0","0","0",,"0","1","0.0","3","4","75.0","1","1","100.0"
"Raley, Luke",670042,"-2","0","9","0.0","0","5","0.0","4","5","80.0","8","11","72.7","13","13","100.0"
"Stewart, DJ",621466,"-2","0","7","0.0","1","5","20.0","3","6","50.0","2","4","50.0","10","10","100.0"
"Ramos, Henry",592656,"-2","0","1","0.0","0","0",,"0","1","0.0","0","0",,"2","2","100.0"
"Brown, Seth",664913,"-2","0","13","0.0","1","6","16.7","5","7","71.4","10","14","71.4","20","20","100.0"
"Gallo, Joey",608336,"-2","0","5","0.0","1","3","33.3","1","5","20.0","4","5","80.0","9","9","100.0"
"Thomas, Lane",657041,"-2","0","27","0.0","1","12","8.3","20","27","74.1","10","13","76.9","34","35","97.1"
"Castro, Willi",650489,"-2","0","13","0.0","1","8","12.5","6","10","60.0","7","9","77.8","10","10","100.0"
